,Country of refuge,Keyword,Number of records
66,Poland,No man's land,2
67,Poland,Minorities,2
68,Hungary,Memoirs,2
69,Hungary,Photographs,2
70,Hungary,Refugee experience (Personal Narratives),2
71,Hungary,Socialist solidarity,2
72,Hungary,Transit country,2
73,Macedonia,Cold War,2
74,Poland,Humanitarianism,2
75,Hungary,Health care,2
76,Poland,Displacement,2
77,Austria,Refugee and internment camps,2
78,Yugoslavia,Displacement,2
79,Czech Republic,Asylum,2
80,Austria,Social care,2
81,Austria,Minorities,2
82,Yugoslavia,Memory,2
83,Austria,Expulsion,2
84,Yugoslavia,Labour migration,2
85,Yugoslavia,Refugee experience (Personal Narratives),2
86,Austria,Borders and borderlands,2
87,Yugoslavia,Internal migration,1
88,Yugoslavia,Health care,1
89,Poland,Media and Press,1
90,Yugoslavia,Communism,1
91,Yugoslavia,Intellectual life,1
92,Yugoslavia,Colonization/Land reform,1
93,Yugoslavia,Anti-Fascism/Anti-Nazism,1
94,Yugoslavia,Gender,1
95,Serbia,Refugee experience (Personal Narratives),1
96,Slovenia,Refugee experience (Personal Narratives),1
97,Poland,International law,1
98,Yugoslavia,Migration and refugee policies,1
99,Yugoslavia,Migration history,1
100,Yugoslavia,Refugee and internment camps,1
101,Yugoslavia,Social care,1
102,Yugoslavia,Socialist solidarity,1
103,Yugoslavia,Solidarity,1
104,Poland,Photographs,1
105,Slovenia,Refugee and internment camps,1
106,Serbia,Solidarity,1
107,Serbia,Labour migration,1
108,Serbia,Minorities,1
109,Serbia,Migration history,1
110,Serbia,Transit country,1
111,Serbia,Migration and refugee policies,1
112,Poland,Education,1
113,Slovakia,Borders and borderlands,1
114,Slovakia,Citizenship,1
115,Serbia,Memory,1
116,Slovakia,Expulsion,1
117,Slovakia,No man's land,1
118,Slovakia,Public opinion,1
119,Slovakia,Refugee and internment camps,1
120,Slovenia,Minorities,1
121,Slovenia,Citizenship,1
122,Serbia,Asylum,1
123,Poland,Xenophobia,1
124,Slovenia,Cold War,1
125,Poland,Social care,1
126,Slovenia,Displacement,1
127,Slovenia,Gender,1
128,Poland,Schengen Area,1
129,Slovenia,Internal migration,1
130,Slovenia,Labour migration,1
131,Slovenia,Memory,1
132,Slovakia,Asylum,1
133,Albania,Biopolitics,1
134,Poland,Correspondence,1
135,Czech Republic,Demography,1
136,Croatia,Refugee and internment camps,1
137,Croatia,Minorities,1
138,Croatia,Migration history,1
139,Croatia,Migration and refugee policies,1
140,Croatia,Memory,1
141,Croatia,Labour migration,1
142,Croatia,International law,1
143,Croatia,Cold War,1
144,Croatia,Citizenship,1
145,Croatia,Biopolitics,1
146,Croatia,Aid organisations,1
147,Croatia,Activism,1
148,Bosnia and Herzegovina,Refugee experience (Personal Narratives),1
149,Bosnia and Herzegovina,Migration and refugee policies,1
150,Bosnia and Herzegovina,Memory,1
151,Bosnia and Herzegovina,International law,1
152,Bosnia and Herzegovina,Displacement,1
153,Bosnia and Herzegovina,Asylum,1
154,Bosnia and Herzegovina,Aid organisations,1
155,Austria,Xenophobia,1
156,Austria,Literature,1
157,Austria,Integration,1
158,Austria,Health care,1
159,Austria,Displacement,1
160,Austria,Culture,1
161,Austria,Communism,1
162,Austria,Antisemitism,1
163,Austria,Aid organisations,1
164,Albania,Socialist solidarity,1
165,Croatia,Refugee experience (Personal Narratives),1
166,Czech Republic,Gender,1
167,Poland,Church,1
168,Czech Republic,International law,1
169,Poland,Children homes,1
170,Poland,Borders and borderlands,1
171,Kosovo,Biopolitics,1
172,Hungary,Public opinion,1
173,Hungary,No man's land,1
174,Hungary,Media and Press,1
175,Hungary,Literature,1
176,Hungary,Holocaust survivors,1
177,Hungary,Gender,1
178,Hungary,Communism,1
179,Hungary,Borders and borderlands,1
180,Hungary,Antisemitism,1
181,Hungary,Aid organisations,1
182,Czechoslovakia,Theatre,1
183,Czechoslovakia,Sudeten Germans,1
184,Czechoslovakia,Solidarity,1
185,Czechoslovakia,Repatriation,1
186,Czechoslovakia,Photographs,1
187,Czechoslovakia,Migration history,1
188,Czechoslovakia,Memory,1
189,Czechoslovakia,Memoirs,1
190,Czechoslovakia,Loyalty,1
191,Czechoslovakia,Historiography,1
192,Czechoslovakia,Demography,1
193,Czechoslovakia,Correspondence,1
194,Czechoslovakia,Children homes,1
195,Czechoslovakia,Bibliographies,1
196,Czechoslovakia,Agriculture,1
197,Czech Republic,National identity,1
198,Hungary,Biographies,1
